,#scale(0),id(1),desc_scale(2),desc_id(3),num_prog(4),pid(5),upid(6),desc_pid(7),phantom(8),sam_mvir(9),mvir(10),rvir(11),rs(12),vrms(13),mmp?(14),scale_of_last_MM(15),vmax(16),x(17),y(18),z(19),vx(20),vy(21),vz(22),Jx(23),Jy(24),Jz(25),Spin(26),Breadth_first_ID(27),Depth_first_ID(28),Tree_root_ID(29),Orig_halo_ID(30),Snap_num(31),Next_coprogenitor_depthfirst_ID(32),Last_progenitor_depthfirst_ID(33),Last_mainleaf_depthfirst_ID(34),Rs_Klypin(35),Mvir_all(36),M200b(37),M200c(38),M500c(39),M2500c(40),Xoff(41),Voff(42),Spin_Bullock(43),b_to_a(44),c_to_a(45),A[x](46),A[y](47),A[z](48),b_to_a(500c)(49),c_to_a(500c)(50),A[x](500c)(51),A[y](500c)(52),A[z](500c)(53),T/|U|(54),M_pe_Behroozi(55),M_pe_Diemer(56),Macc(57),Mpeak(58),Vacc(59),Vpeak(60),Halfmass_Scale(61),Acc_Rate_Inst(62),Acc_Rate_100Myr(63),Acc_Rate_1*Tdyn(64),Acc_Rate_2*Tdyn(65),Acc_Rate_Mpeak(66),Mpeak_Scale(67),Acc_Scale(68),First_Acc_Scale(69),First_Acc_Mvir(70),First_Acc_Vmax(71),Vmax@Mpeak(72)
169,1.00035,3060299135,0.0,-1,1,3060299107,3060299107,-1,0,3676000000000.0,3676000000000.0,319.394,18.394,308.22,1,0.4563,292.67,35.597840000000005,42.90106,17.79433,-752.43,1095.33,292.66,-4415000000000.0,3666000000000.0,-7433000000000.0,0.02721,263099355,263099355,3060299135,1859326,180,-1,263105764,263099524,22.1681,4082200000000,3843800000000,3467700000000,2986300000000,1636800000000,4.47915,8.91,0.02541,0.8803700000000001,0.56111,12.8914,-5.03005,-8.47434,0.7196899999999999,0.48111000000000004,11.8329,0.16866,-8.91479,0.6254,5284000000000,1459000000000,3990000000000.0,4501000000000.0,292.35,340.45,0.4503,-1073.0,-1002.0,-203.4,-110.0,0.0,0.5163,0.9129999999999999,0.9129999999999999,3990000000000.0,292.35,317.12
1084,1.00035,3060299443,0.0,-1,1,3060299107,3060299107,-1,0,518500000000.0,518500000000.0,166.255,15.357,144.85,1,0.7183,141.0,35.88582,42.61403,18.09596,-143.12,-205.74,-1278.44,-635300000000.0,-439600000000.0,-539100000000.0,0.05579,452920535,452920535,3060299443,1859634,180,-1,452921267,452920707,15.8767,547100000000,568090000000,451140000000,374410000000,157150000000,17.534000000000002,59.59,0.06671,0.43926000000000004,0.40266,-5.82881,-0.17694000000000001,13.1718,0.35641999999999996,0.32493,-4.98435,0.22165,11.4915,0.7276,661700000000,282300000000,563500000000.0,682200000000.0,131.57,147.66,0.6764,-47.69,-51.01,-59.53,10.5,74.82,0.8174,0.937,0.937,563500000000.0,131.57,140.08
2654,1.00035,3060298855,0.0,-1,1,3060299135,3060299107,-1,0,196300000000.0,196300000000.0,120.268,1.934,118.19,1,0.1623,128.55,35.510220000000004,42.899440000000006,18.020979999999998,471.81,977.4,-514.55,-5117000000.0,-36350000000.0,43170000000.0,0.02804,574096345,574096345,3060298855,1859046,180,-1,574097862,574096522,4.80622,204310000000,200630000000,188500000000,173910000000,128800000000,2.133,6.84,0.02026,0.9693799999999999,0.92966,-2.2391400000000004,-2.78117,5.19153,0.9658399999999999,0.9492,-0.32092,-0.03141,5.8703199999999995,0.5102,385000000000,90090000000,202500000000.0,669100000000.0,130.07,189.33,0.2763,-28.62,-17.76,-2.7910000000000004,-16.11,0.0,0.4803,0.9279999999999999,0.586,635700000000.0,168.24,173.64
2657,1.00035,3060298994,0.0,-1,1,3060299107,3060299107,-1,0,196100000000.0,196100000000.0,120.24,1.277,131.76,1,0.0963,143.02,35.2747,43.38928,17.8187,1096.25,-247.61,323.25,-1937000000.0,38280000000.0,11840000000.0,0.02078,574206462,574206462,3060298994,1859185,180,-1,574208355,574206640,3.40136,217260000000,199680000000,189040000000,179500000000,147060000000,0.79022,8.55,0.01436,0.86866,0.7522399999999999,6.15271,-0.45286000000000004,-0.69299,0.92514,0.79264,5.60078,-0.03155,-1.1452799999999999,0.5422,462100000000,110400000000,215900000000.0,1127000000000.0,139.6,238.57,0.4743,-42.92,-41.53,-10.47,-70.35,0.0,0.5804,0.895,0.64,1002000000000.0,194.2,192.08
2710,1.00035,3060299054,0.0,-1,1,3060299107,3060299107,-1,0,191200000000.0,191200000000.0,119.229,3.01,110.17,1,0.1863,116.69,35.25866,43.24642,17.08967,775.85,196.43,426.16,127800000000.0,6451000000.0,-30120000000.0,0.06117,577739235,577739235,3060299054,1859245,180,-1,577740999,577739412,6.46769,199950000000,198040000000,181000000000,160830000000,100450000000,1.7701099999999999,6.4,0.049089999999999995,0.9179999999999999,0.85736,2.36991,3.4841,6.65238,0.9271299999999999,0.87435,-0.61251,5.48462,4.481990000000001,0.532,311600000000,73330000000,196700000000.0,755100000000.0,116.25,196.4,0.3184,-14.31,-7.526,-4.335,-16.16,0.0,0.4023,0.946,0.58,596600000000.0,160.8,190.65
2716,1.00035,3060299688,0.0,-1,1,3060299107,3060299107,-1,0,190800000000.0,190800000000.0,119.144,3.938,116.45,1,0.1863,130.19,35.962990000000005,42.96647,18.43773,229.88,73.45,280.97,69540000000.0,42080000000.0,-41070000000.0,0.04172,578088463,578088463,3060299688,1859879,180,-1,578090685,578088640,4.4243,265510000000,208130000000,160290000000,125530000000,97452000000,2.07072,6.01,0.03412,0.74924,0.6006,2.25422,-3.2307,5.27784,0.9064200000000001,0.76766,-2.1709400000000003,3.40809,-2.6427400000000003,0.562,327400000000,82730000000,339900000000.0,984600000000.0,155.96,221.92,0.2944,83.46,-15.71,-67.24,-51.34,0.0,0.3423,0.8109999999999999,0.556,919000000000.0,189.29,221.2
2980,1.00035,3060298891,0.0,-1,1,3060299107,3060299107,-1,0,171600000000.0,171600000000.0,115.001,7.909,99.06,1,0.5923,97.35,35.03138,43.19941,17.5777,843.67,1022.39,15.62,44250000000.0,-95910000000.0,63350000000.0,0.05637,593202367,593202367,3060298891,1859082,180,-1,593202773,593202539,11.0713,178410000000,182500000000,153610000000,125530000000,60243000000,10.2053,17.86,0.05508,0.66825,0.5539999999999999,4.31255,7.002839999999999,2.5924400000000003,0.70655,0.5898100000000001,3.34389,5.5959,2.30309,0.601,217100000000,68690000000,175700000000.0,224900000000.0,102.31,117.49,0.5564,-28.62,-8.0,-10.87,-12.96,0.8182,0.7483,0.9520000000000001,0.9520000000000001,175700000000.0,102.31,97.54
3181,1.00035,3060298811,0.0,-1,1,3060299107,3060299107,-1,0,160300000000.0,160300000000.0,112.417,2.674,130.89,1,0.1443,117.94,35.37808,43.53051,17.59066,-73.16,1126.56,-739.42,21530000000.0,-74960000000.0,-90290000000.0,0.06195,603292383,603292383,3060298811,1859002,180,-1,603293335,603292558,4.783119999999999,215760000000,160970000000,155510000000,142840000000,95680000000,1.65547,10.22,0.05977999999999999,0.7429899999999999,0.6148399999999999,5.02717,3.5125699999999997,-2.51682,0.86815,0.72815,4.7939099999999994,0.93886,-2.5452,0.723,285800000000,71280000000,202100000000.0,246600000000.0,119.4,129.81,0.2944,-7.154,-9.0,-22.63,-13.67,0.0,0.5043,0.8740000000000001,0.8740000000000001,202100000000.0,119.4,121.1
3601,1.00035,3060299479,0.0,-1,1,3060299107,3060299107,-1,0,138500000000.0,138500000000.0,107.068,3.186,97.49,1,0.2283,107.61,36.385040000000004,42.54037,17.89578,-884.6,329.38,-201.28,19960000000.0,-4941000000.0,-37540000000.0,0.03476,625506569,625506569,3060299479,1859670,180,-1,625507011,625506747,5.2842199999999995,140520000000,142700000000,128390000000,112720000000,76463000000,1.90867,8.88,0.027360000000000002,0.96583,0.8377899999999999,-3.6547400000000003,5.03884,0.69801,0.9485100000000001,0.81316,3.40277,4.48154,0.23146999999999998,0.5174,228900000000,56560000000,138300000000.0,151400000000.0,108.89,116.29,0.2823,4.769,3.0,1.147,0.6542,0.0,0.4743,0.982,0.982,138300000000.0,108.89,111.13
3676,1.00035,3060299442,0.0,-1,1,3060299443,3060299107,-1,0,135500000000.0,135500000000.0,106.289,4.758,95.55,1,0.2463,97.78,35.90927,42.61193,18.049,-220.87,-267.1,-1139.5,-18140000000.0,-695800000.0,-25890000000.0,0.02286,628969544,628969544,3060299442,1859633,180,-1,628970313,628969717,7.26635,143110000000,140660000000,124170000000,102360000000,58608000000,4.57331,4.1,0.02097,0.65772,0.5918,-1.8411400000000002,-3.21862,8.54509,0.65015,0.54484,-0.47526,-3.4617199999999997,7.03935,0.584,183300000000,45660000000,224700000000.0,260700000000.0,108.72,120.12,0.4324,100.2,147.6,-6.776,-28.06,0.4675,0.7363,0.7120000000000001,0.7120000000000001,224700000000.0,108.72,109.41
