,#scale(0),id(1),desc_scale(2),desc_id(3),num_prog(4),pid(5),upid(6),desc_pid(7),phantom(8),sam_mvir(9),mvir(10),rvir(11),rs(12),vrms(13),mmp?(14),scale_of_last_MM(15),vmax(16),x(17),y(18),z(19),vx(20),vy(21),vz(22),Jx(23),Jy(24),Jz(25),Spin(26),Breadth_first_ID(27),Depth_first_ID(28),Tree_root_ID(29),Orig_halo_ID(30),Snap_num(31),Next_coprogenitor_depthfirst_ID(32),Last_progenitor_depthfirst_ID(33),Last_mainleaf_depthfirst_ID(34),Rs_Klypin,Mvir_all,M200b,M200c,M500c,M2500c,Xoff,Voff,Spin_Bullock,b_to_a,c_to_a,A[x],A[y],A[z],b_to_a(500c),c_to_a(500c),A[x](500c),A[y](500c),A[z](500c),T/|U|,M_pe_Behroozi,M_pe_Diemer
0,1.00035,3060299107,0.0,-1.0,6.0,-1.0,-1.0,-1.0,0.0,164300000000000.0,164300000000000.0,1133.583,112.873,965.65,1.0,0.2523,952.39,35.724990000000005,43.2765,17.712989999999998,48.16,-34.49,-82.51,1798000000000000.0,-944900000000000.0,-4756000000000000.0,0.02444,29078816.0,29078816.0,3060299107.0,1859298.0,180.0,-1.0,29235040.0,29078994.0,112.87299999999999,164400000000000.0,181910000000000.0,134390000000000.0,104130000000000.0,56707000000000.0,24.6404,58.66,0.02485,0.72158,0.58089,51.3941,-20.2019,17.9174,0.7429,0.53803,40.4987,-13.3887,17.0664,0.6102,182600000000000.0,89130000000000.0
1,0.99735,3046853662,1.00035,3060299107.0,10.0,-1.0,-1.0,-1.0,0.0,164167000000000.0,164200000000000.0,1134.78,112.828,966.02,1.0,0.2523,953.21,35.72316,43.278259999999996,17.715889999999998,50.2,-31.16,-80.15,1863000000000000.0,-945500000000000.0,-4756000000000000.0,0.02458,29078817.0,29078817.0,3060299107.0,1861190.0,179.0,29234560.0,29234559.0,29078994.0,112.82799999999999,164260000000000.0,181540000000000.0,134170000000000.0,103660000000000.0,56798000000000.0,27.0731,57.39,0.02502,0.7236,0.57934,49.7834,-19.5098,17.5481,0.74438,0.53537,39.2112,-12.8021,16.8692,0.6108,181700000000000.0,88760000000000.0
7,0.99435,3033258810,0.99735,3046853662.0,5.0,-1.0,-1.0,-1.0,0.0,164000000000000.0,164000000000000.0,1135.874,114.046,966.51,1.0,0.2523,954.06,35.72123,43.27956,17.71855,51.7,-27.84,-77.57,1916000000000000.0,-953100000000000.0,-4744000000000000.0,0.02465,29078823.0,29078818.0,3060299107.0,1699473.0,178.0,29233005.0,29233004.0,29078994.0,112.72,164070000000000.0,181190000000000.0,133930000000000.0,103300000000000.0,56969000000000.0,28.5939,56.09,0.02514,0.72602,0.57734,50.0137,-19.5065,17.7904,0.7503,0.53308,39.3799,-12.6008,17.2067,0.6116,180500000000000.0,88970000000000.0
22,0.99135,3019528841,0.99435,3033258810.0,2.0,-1.0,-1.0,-1.0,0.0,163833000000000.0,163800000000000.0,1136.935,113.725,967.06,1.0,0.2523,956.73,35.72034,43.279720000000005,17.72147,51.96,-26.37,-79.45,1935000000000000.0,-959300000000000.0,-4725000000000000.0,0.02465,29078838.0,29078819.0,3060299107.0,1866926.0,177.0,29232666.0,29232665.0,29078994.0,111.641,163880000000000.0,180830000000000.0,133710000000000.0,102960000000000.0,57368000000000.0,29.5303,55.16,0.02516,0.72848,0.57631,51.2411,-19.8596,18.367,0.7579,0.53809,40.2962,-12.5386,17.8539,0.6122,178800000000000.0,87950000000000.0
41,0.98835,3005814447,0.99135,3019528841.0,4.0,-1.0,-1.0,-1.0,0.0,163633000000000.0,163700000000000.0,1138.095,113.556,967.53,1.0,0.2523,959.51,35.7182,43.28002,17.72352,53.26,-21.22,-81.05,1952000000000000.0,-973500000000000.0,-4707000000000000.0,0.024640000000000002,29078857.0,29078820.0,3060299107.0,1869144.0,176.0,29232516.0,29232515.0,29078994.0,110.581,163720000000000.0,180430000000000.0,133380000000000.0,102550000000000.0,57693000000000.0,30.4274,52.01,0.02519,0.72987,0.5753699999999999,50.7165,-19.4906,18.250999999999998,0.75817,0.53868,39.8835,-11.9571,17.8206,0.613,177800000000000.0,87340000000000.0
61,0.98535,2992080974,0.98835,3005814447.0,10.0,-1.0,-1.0,-1.0,0.0,163433000000000.0,163400000000000.0,1139.065,113.559,967.75,1.0,0.2523,961.38,35.716770000000004,43.28004,17.72535,50.57,-16.32,-78.13,1986000000000000.0,-988600000000000.0,-4653000000000000.0,0.02454,29078877.0,29078821.0,3060299107.0,1872340.0,175.0,29232148.0,29232147.0,29078994.0,109.90700000000001,163490000000000.0,180040000000000.0,133010000000000.0,102090000000000.0,57765000000000.0,30.9607,47.11,0.02511,0.73218,0.5745600000000001,50.8396,-19.4276,18.3265,0.7600399999999999,0.5411600000000001,39.9782,-11.5845,18.0005,0.6134,177500000000000.0,86940000000000.0
84,0.98235,2978323309,0.98535,2992080974.0,3.0,-1.0,-1.0,-1.0,0.0,163167000000000.0,163200000000000.0,1140.046,113.84,967.88,1.0,0.2523,962.97,35.71566,43.2803,17.72739,49.27,-12.2,-70.74,2040000000000000.0,-1007000000000000.0,-4592000000000000.0,0.02446,29078900.0,29078822.0,3060299107.0,1875149.0,174.0,29231222.0,29231221.0,29078994.0,109.389,163260000000000.0,179740000000000.0,132710000000000.0,101330000000000.0,58182000000000.0,31.2981,45.31,0.02504,0.73523,0.57481,51.2,-19.4885,18.5233,0.76358,0.54457,40.1606,-11.2268,18.384,0.6136,176700000000000.0,86750000000000.0
116,0.97935,2964565118,0.98235,2978323309.0,2.0,-1.0,-1.0,-1.0,0.0,162933000000000.0,162900000000000.0,1140.966,113.96,967.94,1.0,0.2523,964.66,35.71376,43.28073,17.728270000000002,48.86,-12.32,-68.42,2076000000000000.0,-1014000000000000.0,-4554000000000000.0,0.02444,29078932.0,29078823.0,3060299107.0,1878304.0,173.0,29230775.0,29230774.0,29078994.0,108.79700000000001,163000000000000.0,179220000000000.0,132390000000000.0,100030000000000.0,58233000000000.0,32.0092,46.22,0.02504,0.73736,0.57525,50.907,-19.4764,18.4351,0.76557,0.54842,39.8267,-10.8899,18.4794,0.614,175700000000000.0,86610000000000.0
150,0.97635,2950798297,0.97935,2964565118.0,8.0,-1.0,-1.0,-1.0,0.0,162700000000000.0,162700000000000.0,1141.956,114.125,967.72,1.0,0.2523,964.62,35.71372,43.281,17.72997,49.29,-11.88,-66.79,2082000000000000.0,-1035000000000000.0,-4540000000000000.0,0.02447,29078966.0,29078824.0,3060299107.0,1880657.0,172.0,29230610.0,29230609.0,29078994.0,109.104,162780000000000.0,178820000000000.0,132120000000000.0,99370000000000.0,58285000000000.0,32.9821,47.25,0.0251,0.73817,0.57447,50.9939,-19.7301,18.2353,0.7671899999999999,0.55115,39.8928,-10.9577,18.4433,0.6142,175000000000000.0,86460000000000.0
185,0.97335,2937020096,0.97635,2950798297.0,10.0,-1.0,-1.0,-1.0,0.0,162500000000000.0,162500000000000.0,1142.947,114.171,967.18,1.0,0.2523,963.62,35.711909999999996,43.2814,17.73099,52.7,-19.76,-77.29,2039000000000000.0,-1058000000000000.0,-4527000000000000.0,0.0244,29079001.0,29078825.0,3060299107.0,1869695.0,171.0,29230013.0,29230012.0,29078994.0,109.90299999999999,162550000000000.0,178240000000000.0,131810000000000.0,98959000000000.0,58087000000000.0,33.696999999999996,51.78,0.02506,0.7377,0.57305,51.601000000000006,-20.2142,18.0838,0.7669699999999999,0.55335,40.3569,-11.2464,18.3706,0.6144,174600000000000.0,86230000000000.0
